stage,tp_multiplier_applied,effective_volume_factor_applied,pkn_fleak_override_applied,pkn_H_w_override_applied,pkn_effective_injected_volume_m3,tp_for_g_seconds,tp_legacy_volume_over_rate_seconds,fracture_initiation_status,fracture_initiation_rule,fracture_initiation_index,fracture_initiation_time_text,fracture_initiation_pressure_mpa,tp_corrected_seconds,tp_correction_ratio,early_transient_risk,closure_was_computed,barree_status,barree_closure_index,barree_closure_elapsed_seconds,barree_closure_g_time,barree_closure_pressure_mpa,barree_tangent_slope,barree_residual_at_closure,barree_quality_flag,mcclure_status,mcclure_closure_index,mcclure_closure_elapsed_seconds,mcclure_closure_g_time,mcclure_closure_pressure_mpa,mcclure_quality_flag,selected_closure_method,selected_closure_elapsed_seconds,selected_closure_pressure_mpa,selected_closure_g_time,selected_closure_quality_flag,selected_closure_status,closure_is_candidate,closure_is_final_interpretation,g_function_closure_efficiency,g_function_closure_efficiency_formula,g_function_closure_efficiency_status,g_function_closure_efficiency_source_note,raw_injected_volume_m3,perforation_friction_mpa,pressure_at_shut_in_mpa,pressure_for_net_mpa,wellbore_storage_coeff_m3_per_mpa,wellbore_storage_volume_m3,effective_injected_volume_m3,volume_correction_warning,legacy_mvp_pkn_fracture_volume_m3,legacy_mvp_pkn_half_length_mean_m,legacy_mvp_pkn_volume_status,pkn_model_name,pkn_model_version,pkn_H_w_m,pkn_H_w_source,pkn_I_F,pkn_I_F_source,pkn_E_prime_mpa,pkn_volume_status,pkn_fracture_volume_m3,pkn_fracture_volume_std_m3,pkn_half_length_mean_m,pkn_half_length_std_m,pkn_net_pressure_min_mpa,pkn_net_pressure_max_mpa,pkn_net_pressure_mean_mpa,pkn_cluster_count,pkn_cluster_length_min_m,pkn_cluster_length_max_m,pkn_cluster_length_mean_m,pkn_cluster_length_std_m,pkn_stable_row_count,pkn_leakoff_coefficient,pkn_segment_start,pkn_segment_end,pkn_K_lp,pkn_C_status,pkn_C_coupling_method,pkn_C_stage,pkn_C_stage_raw,pkn_C_multiplier_applied,pkn_C_stage_units_assumed,pkn_C_min,pkn_C_max,pkn_C_mean,pkn_H_p_m,pkn_fleak,pkn_warning,pkn_flow_allocation_method,pkn_flow_allocation_exponent,pkn_eta_min,pkn_eta_max,pkn_eta_mean,pkn_eta_std,pkn_leakoff_volume_m3,pkn_leakoff_volume_std_m3,pkn_nonstorage_volume_m3,pkn_storage_fraction,pkn_stable_storage_fraction,pkn_stable_leakoff_fraction,pkn_stable_nonstorage_fraction,pkn_leakoff_fraction,pkn_nonstorage_fraction,pkn_balance_residual_mean_m3,pkn_balance_residual_abs_max_m3,pkn_stable_g_min,pkn_stable_g_mean,pkn_stable_g_max,pkn_stable_storage_unit_mean_m2,pkn_stable_preclosure_leakoff_unit_mean_m2,pkn_stable_G_leakoff_unit_mean_m2,pkn_stable_storage_unit_fraction,pkn_stable_G_leakoff_unit_fraction,pkn_shutin_storage_volume_m3,pkn_shutin_leakoff_before_closure_m3,pkn_shutin_fluid_efficiency,pkn_shutin_leakoff_fraction,pkn_shutin_storage_unit_mean_m2,pkn_shutin_preclosure_leakoff_unit_mean_m2,pkn_shutin_storage_unit_fraction,pkn_shutin_preclosure_leakoff_unit_fraction,pkn_C_multiplier_to_20pct_shutin_efficiency,pkn_C_multiplier_to_10pct_shutin_efficiency,pkn_C_multiplier_to_g_function_efficiency,pkn_fluid_efficiency_warning,pkn_tp_seconds,pkn_sqrt_tp_seconds,stress_shadow_status,stress_shadow_alpha,stress_shadow_kernel,stress_shadow_condition_number,stress_shadow_xi_min,stress_shadow_xi_max,stress_shadow_xi_mean,stress_shadow_xi_sum,stable_segment_status,stable_dP_dG_slope_mpa,stable_dP_dG_intercept_mpa,stable_dP_dG_r2,stable_segment_start_index,stable_segment_end_index,stable_segment_start_elapsed_seconds,stable_segment_end_elapsed_seconds,stable_segment_point_count,efficiency_ratio_pkn_to_g_function,efficiency_difference_pkn_minus_g_function,efficiency_reconciliation_warning,microseismic_affected_volume,electromagnetic_affected_area,missing_estimate_reason
1,1.0,1.0,,50.0,3049.91,10417.0,9567.863590772316,ok,sigma_min_crossing,3247.0,06:49:16,136.5717,10417.0,1.0887487996846683,True,True,ok,373.0,376.0,0.07570136655583641,107.43169999999999,-18.572466542086907,3.6643339863034976,ok,ok,1045.0,1048.0,0.19609329166586995,105.8717,ok,barree,376.0,107.43169999999999,0.07570136655583641,ok,ok,True,False,0.036470259053423444,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3049.91,0.0,109.82169999999999,109.82169999999999,0.0,0.0,3049.91,,2609.552221261555,1101.2369253389793,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,203.9453715794142,14.204166410582122,44.04157768242349,23.902898696467677,1.464803717246798,6.226903750678601,2.724841989532486,8.0,26.621025377046994,86.18258770454766,44.04157768242349,23.902898696467677,359,0.0005439912748582372,15.0,373.0,5.6597853992565375,ok,stage-constant,0.0005439912748582372,0.0005439912748582372,1.0,m_per_sqrt_second,0.0005439912748582372,0.0005439912748582372,0.0005439912748582372,25.0,0.5,,stress-shadow,1.0,0.07430307929151747,0.25059566152776386,0.125,0.07271567020298236,2845.964628420586,14.204166410582145,2845.9646284205855,0.06686930813676935,0.06686930813676935,0.9331306918632307,0.9331306918632306,0.9331306918632307,0.9331306918632306,7.996079811896393e-15,6.536993168992922e-13,0.003298708078021562,0.040083005550360366,0.07570136655583641,0.4397435274694848,7.856031918037217,0.2225479227646037,0.051623248902175185,0.026125789447432924,240.07407926481014,2809.83592073519,0.07871513561541493,0.9212848643845851,0.5117652514183351,7.856031918037216,0.06115889774269385,0.9388411022573061,0.2605718799300381,0.5862867298425858,1.7210513613241278,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,10417.0,102.06370559606387,ok,1.0,sneddon,20.15873836436112,0.17581090500699717,0.5929424522390281,0.2957665191728265,2.366132153382612,ok,-27.020601638095123,109.39588113156204,0.9886341967249869,15.0,373.0,15.0,376.0,359,2.158337715674273,0.04224487656199149,efficiency_consistent_within_0p1,147.5,18435.0,
2,1.0,1.0,,50.0,3012.95,10367.0,9550.466906105696,ok,sigma_min_crossing,1615.0,06:01:29,150.6683,10367.0,1.085496667536986,False,True,ok,421.0,424.0,0.08517077659573785,105.1083,-18.472727915550156,11.103384574695742,ok,ok,576.0,581.0,0.11440368009109558,104.9083,ok,barree,424.0,105.1083,0.08517077659573785,ok,ok,True,False,0.04084594775243693,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3012.95,0.0,108.2283,108.2283,0.0,0.0,3012.95,,2387.704460406569,1397.2604242366474,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,152.65823492456266,18.382040343893674,48.4873371752362,19.114264774899738,1.6026429755191716,5.550886391925628,2.7924400572279895,6.0,32.766395302382556,76.22368717163268,48.4873371752362,19.114264774899738,407,0.0006614528344951594,15.0,421.0,5.6597853992565375,ok,stage-constant,0.0006614528344951594,0.0006614528344951594,1.0,m_per_sqrt_second,0.0006614528344951594,0.0006614528344951594,0.0006614528344951594,25.0,0.5,,stress-shadow,1.0,0.11268483237883901,0.2641270075036396,0.16666666666666666,0.06904814021362557,2860.2917650754366,18.3820403438937,2860.291765075437,0.05066736418611748,0.05066736418611748,0.9493326358138824,0.9493326358138825,0.9493326358138824,0.9493326358138825,2.248597158867344e-14,6.252776074688882e-13,0.003314442312287032,0.04512823192429004,0.08517077659573785,0.4506527151775184,9.529396648537185,0.30393012576782746,0.04382084927711134,0.02955374678437059,199.18549250240022,2813.7645074975994,0.06610979023959915,0.9338902097604008,0.5811878131959077,9.529396648537185,0.05748310746976187,0.9425168925302382,0.24395576535692773,0.5489004720530873,1.4321565160481102,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,10367.0,101.81846590869458,ok,1.0,sneddon,9.75116506810613,0.2667381747780853,0.625219511835106,0.3945194887769354,2.367116932661612,ok,-32.776092737140296,107.65720598439266,0.9671805356437503,15.0,421.0,15.0,424.0,407,1.6185152720726117,0.025263842487162215,efficiency_consistent_within_0p1,163.5,16290.0,
3,1.0,1.0,,50.0,3246.2999999999997,10077.0,10154.670658682635,ok,sigma_min_crossing,1844.0,08:21:23,134.14569999999998,10077.0,0.9923512380368315,False,True,ok,521.0,521.0,0.10611312112394136,106.3457,-8.609733560036688,27.138904080030688,ok,ok,867.0,867.0,0.17000613114540047,105.53569999999999,ok,barree,521.0,106.3457,0.10611312112394136,ok,ok,True,False,0.05038339111971032,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3246.2999999999997,0.0,110.2257,110.2257,0.0,0.0,3246.2999999999997,,2882.8085102521322,1398.8908958788597,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,186.4577637537946,25.075405409751763,49.00016597696312,19.53323467973584,1.8978447829357614,7.413261323218576,3.360432738614742,6.0,32.72825245152141,77.69430350762653,49.00016597696312,19.53323467973584,507,0.0007049860932077074,15.0,521.0,5.6597853992565375,ok,stage-constant,0.0007049860932077073,0.0007049860932077073,1.0,m_per_sqrt_second,0.0007049860932077073,0.0007049860932077073,0.0007049860932077074,25.0,0.5,,stress-shadow,1.0,0.11164451638563325,0.2658530213821285,0.16666666666666666,0.07027528474178298,3059.8422362462056,25.07540540975177,3059.842236246205,0.05743700944268695,0.05743700944268695,0.9425629905573132,0.9425629905573131,0.9425629905573132,0.9425629905573131,2.7020244468352527e-14,5.684341886080801e-13,0.0034087537288516397,0.056047216615811836,0.10611312112394136,0.5423171515923128,10.01350577100771,0.3966433971896344,0.04951552789643529,0.0362149844252844,245.11654582850173,3001.1834541714984,0.07550643681375774,0.9244935631862424,0.7020647571572987,10.01350577100771,0.06551818732488189,0.9344818126751181,0.28044713738119564,0.6310060591076903,1.321453626143133,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,10077.0,100.38426171467319,ok,1.0,sneddon,10.033368138326779,0.2619270440310476,0.623712639829255,0.3910134483248613,2.3460806899491677,ok,-34.44117249803211,109.62449339396125,0.9121868329706337,15.0,521.0,15.0,521.0,507,1.498637450471632,0.02512304569404742,efficiency_consistent_within_0p1,205.5,18824.0,
4,1.0,1.0,,50.0,,,,not_computed,,,,,,,False,False,not_computed,,,,,,,not_computed,not_computed,,,,,not_computed,none,,,,not_computed,not_computed,True,False,,eta_G = G_c / (G_c + 2),invalid_closure_g_time,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,,,,,,,,no_valid_falloff_manifest_row,,,not_computed,physical_pkn_storage,phase5d,,,,,,not_computed,,,,,,,,,,,,,0,,,,,not_computed,,,,,,,,,,,derivatives_not_available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,not_computed,,,,,,,,not_computed,,,,,,,,0,,,missing_efficiency_reference,202.0,16786.0,no_valid_falloff_manifest_row
5,1.0,1.0,,50.0,3274.5299999999997,10247.0,10057.466334164586,ok,sigma_min_crossing,1530.0,05:51:38,131.5796,10247.0,1.018845070869547,True,True,not_found,,,,,,,not_found,ok,70.0,70.0,0.015248524176360053,112.84960000000001,boundary_low_confidence,mcclure,70.0,112.84960000000001,0.015248524176360053,boundary_low_confidence,ok,True,False,0.007566572555904579,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3274.5299999999997,0.0,117.77959999999999,117.77959999999999,0.0,0.0,3274.5299999999997,,3274.5299999999997,837.350543525587,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,13.056093997994065,0.9267976270750473,1.9984871557617783,0.8283516772994287,3.574184890514238,9.861618849190101,5.754351450969817,6.0,1.3521315840641024,3.1759286597838257,1.9984871557617783,0.8283516772994287,16,0.018882409027329208,29.0,44.0,5.6597853992565375,ok,stage-constant,0.018882409027329204,0.018882409027329204,1.0,m_per_sqrt_second,0.018882409027329204,0.018882409027329204,0.018882409027329208,25.0,0.5,,stress-shadow,1.0,0.11268099674961672,0.26501607759676615,0.16666666666666666,0.06934487930492397,3261.473906002005,0.926797627075061,3261.4739060020056,0.003987165791119357,0.003987165791119357,0.9960128342088804,0.9960128342088806,0.9960128342088804,0.9960128342088806,-1.0658141036401503e-14,5.115907697472721e-13,0.006426232357680399,0.008056151291023949,0.009680607418680487,0.9286552449901047,270.45545300395133,1.5398676049932618,0.00340261511318122,0.0056421118744707805,16.794068505199675,3257.7359314948,0.005128695875499591,0.9948713041245003,1.1893480226953748,270.45545300395133,0.004378320579670167,0.9956216794203299,0.017590298283658545,0.03957817113823173,0.5767869100056571,very_low_shutin_fluid_efficiency_check_C_units_or_stable_slope,10247.0,101.22746662838105,ok,1.0,sneddon,9.790446320765211,0.2667381780436909,0.6273454063201412,0.3945329229387832,2.3671975376326992,ok,-930.2239518263251,121.17924989044707,0.8144224492864846,29.0,44.0,29.0,44.0,16,0.6778096473148084,-0.002437876680404988,efficiency_consistent_within_0p1,171.5,18199.0,
6,1.0,1.0,,50.0,3264.43,10065.0,10029.610778443113,ok,sigma_min_crossing,1486.0,05:51:52,132.8546,10065.0,1.0035284740692978,True,True,ok,703.0,703.0,0.14033399519652276,107.5246,-7.853947613174465,14.018155775969952,ok,ok,80.0,80.0,0.0176750961092649,111.7946,boundary_low_confidence,barree,703.0,107.5246,0.14033399519652276,ok,ok,True,False,0.06556640015598943,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3264.43,0.0,112.4546,112.4546,0.0,0.0,3264.43,,2886.760161125704,1204.7857172708957,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,212.248899092628,33.67203950256509,47.041602443960684,18.281014378616895,2.2444950454876786,9.843831126039014,4.0067143901822755,6.0,31.538227169046053,74.76807157043525,47.041602443960684,18.281014378616895,689,0.0007242729166271919,15.0,703.0,5.6597853992565375,ok,stage-constant,0.0007242729166271919,0.0007242729166271919,1.0,m_per_sqrt_second,0.0007242729166271919,0.0007242729166271919,0.0007242729166271919,25.0,0.5,,stress-shadow,1.0,0.11268483237883901,0.2641270075036396,0.16666666666666666,0.06904814021362557,3052.1811009073717,33.67203950256509,3052.1811009073717,0.06501867066919126,0.06501867066919126,0.9349813293308087,0.9349813293308087,0.9349813293308087,0.9349813293308087,1.0890176037193988e-14,6.821210263296962e-13,0.0034127723729454715,0.07390309456728683,0.14033399519652276,0.6466161070146315,10.281325486948116,0.5369968761280544,0.05639943979651469,0.04683818212622308,285.1077675449357,2979.322232455064,0.0873376876039418,0.9126623123960581,0.8502712191871504,10.28132548694812,0.07638358104713913,0.923616418952861,0.33080217925851996,0.7443049033316699,1.1786245335467962,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,10065.0,100.32447358446493,ok,1.0,sneddon,9.75116506810613,0.2667381747780853,0.625219511835106,0.3945194887769354,2.367116932661612,ok,-35.36233090608778,111.86932095357726,0.8867283174635459,15.0,703.0,15.0,703.0,689,1.3320494551501405,0.02177128744795237,efficiency_consistent_within_0p1,161.5,18573.0,
7,1.0,1.0,,50.0,3232.5,9935.0,9903.70887337986,ok,sigma_min_crossing,1400.0,06:11:06,138.4201,9935.0,1.0031595361919663,True,True,ok,941.0,941.0,0.18561219583701266,109.70009999999999,-10.768185565253669,18.385896249308992,ok,ok,86.0,86.0,0.019205934849228962,113.5001,boundary_low_confidence,barree,941.0,109.70009999999999,0.18561219583701266,ok,ok,True,False,0.08492457911360149,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3232.5,0.0,118.5301,118.5301,0.0,0.0,3232.5,,2719.6880168931034,902.105898024798,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,361.4452143725413,43.33071586980782,67.49838985445206,24.976922600527168,2.773960102756977,10.70081442815403,4.787702260689352,6.0,45.01063666414291,106.26620363643906,67.49838985445206,24.976922600527168,927,0.0004705110140222018,15.0,941.0,5.6597853992565375,ok,stage-constant,0.0004705110140222018,0.0004705110140222018,1.0,m_per_sqrt_second,0.0004705110140222018,0.0004705110140222018,0.0004705110140222018,25.0,0.5,,stress-shadow,1.0,0.1107541485347565,0.26453326371414654,0.16666666666666666,0.06909793175891153,2871.054785627459,43.33071586980781,2871.054785627459,0.11181599825910016,0.11181599825910016,0.8881840017408998,0.8881840017408998,0.8881840017408998,0.8881840017408998,2.3117550065290855e-14,5.684341886080801e-13,0.0034569246219592906,0.09772093459350485,0.18561219583701266,0.772654373602922,6.635806338977264,0.45829101386885984,0.09821771430832846,0.058256702360140036,566.6860540220883,2665.813945977912,0.17530891075702656,0.8246910892429736,1.2348441924305231,6.635806338977262,0.1568922654490737,0.8431077345509264,0.7443521581860042,1.6747923559185096,2.005127289263969,below_20pct_reference_check_local_assumptions,9935.0,99.67447015158896,ok,1.0,sneddon,9.814081538991804,0.2616918805253703,0.6250439207804876,0.3938029771156413,2.3628178626938476,ok,-22.823669952431775,113.48795844922034,0.9052060550338255,15.0,941.0,15.0,941.0,927,2.0642894270046392,0.09038433164342508,efficiency_consistent_within_0p1,179.0,18323.0,
8,1.0,1.0,,50.0,3276.6899999999996,14017.0,10026.047904191617,ok,sigma_min_crossing,1340.0,05:48:46,134.8577,14017.0,1.3980583510018814,True,True,ok,699.0,699.0,0.10259016675381755,110.1377,-9.399466149295728,13.458355820148014,ok,ok,84.0,84.0,0.013417534054884437,113.6277,boundary_low_confidence,barree,699.0,110.1377,0.10259016675381755,ok,ok,True,False,0.048792279340013366,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3276.6899999999996,0.0,119.1577,119.1577,0.0,0.0,3276.6899999999996,,3013.4263381698847,959.9097231071557,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,198.84395153733874,21.60892784564688,31.400136497971623,17.07856349772063,1.9318758382274583,10.493784727003463,3.726808326985846,8.0,18.698225072268066,62.280193235513885,31.400136497971623,17.07856349772063,685,0.0007048031707331774,15.0,699.0,5.6597853992565375,ok,stage-constant,0.0007048031707331774,0.0007048031707331774,1.0,m_per_sqrt_second,0.0007048031707331774,0.0007048031707331774,0.0007048031707331774,25.0,0.5,,stress-shadow,1.0,0.07404098881834999,0.25060703829143893,0.125,0.07238203419770223,3077.8460484626617,21.608927845646875,3077.8460484626607,0.06068439539209958,0.06068439539209958,0.9393156046079006,0.9393156046079004,0.9393156046079006,0.9393156046079004,3.1533575426433645e-15,4.547473508864641e-13,0.0024589339971993413,0.053777223033350655,0.10259016675381755,0.6014439905899236,11.80688570127261,0.44873894036337203,0.046779247104773165,0.03490211907546481,313.08479519480613,2963.6052048051934,0.09554910449105841,0.9044508955089415,0.9573513077416145,11.806885701272611,0.07500262703250683,0.9249973729674932,0.3243366055922523,0.7297573625825676,1.5807392455582652,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,14017.0,118.3934119788766,ok,1.0,sneddon,20.071883541194683,0.17518393121208017,0.5929462431278338,0.29575498316525617,2.3660398653220494,ok,-40.6094525135682,113.88486285515751,0.8898714663950992,15.0,699.0,15.0,699.0,685,1.958283273163279,0.046756825151045046,efficiency_consistent_within_0p1,179.5,18815.0,
9,1.0,1.0,,50.0,3327.39,10701.0,10196.764852720917,ok,sigma_min_crossing,1355.0,05:47:31,137.9699,10701.0,1.0494505026409953,True,True,ok,354.0,355.0,0.06989364895833348,110.4999,-7.678396377361209,29.720900782505463,ok,ok,264.0,265.0,0.05292928679514657,111.0199,ok,barree,355.0,110.4999,0.06989364895833348,ok,ok,True,False,0.03376678265258083,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3327.39,0.0,113.7699,113.7699,0.0,0.0,3327.39,,3177.7897365207887,980.1047934265827,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,181.4311540364043,14.425949301697544,28.420749410667273,15.636980620052116,2.0037822963547125,8.942086253854601,3.7436501755866525,8.0,17.080034319457923,56.101253328278084,28.420749410667273,15.636980620052116,340,0.0009211400356988575,15.0,354.0,5.6597853992565375,ok,stage-constant,0.0009211400356988575,0.0009211400356988575,1.0,m_per_sqrt_second,0.0009211400356988575,0.0009211400356988575,0.0009211400356988575,25.0,0.5,,stress-shadow,1.0,0.07428768507698096,0.25061538297282265,0.125,0.07273533439539458,3145.958845963596,14.42594930169754,3145.9588459635956,0.05452656708002498,0.05452656708002498,0.9454734329199752,0.9454734329199751,0.9454734329199752,0.9454734329199751,1.3876481663079603e-14,5.968558980384842e-13,0.0032121044580923587,0.03729831074007966,0.06989364895833348,0.6041619808224862,13.48272925842256,0.35540783971849293,0.04183281190336935,0.02460881316577741,212.99142802855982,3114.39857197144,0.06401156102186994,0.9359884389781301,0.7002094495949548,13.482729258422564,0.049369842457200434,0.9506301575427996,0.20773522516816512,0.46740425662837154,1.4860808404208852,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,10701.0,103.4456378974,ok,1.0,sneddon,20.156378172028212,0.1757719187321566,0.5929804742640599,0.295762209022283,2.366097672178264,ok,-46.37346946741362,113.4872873684089,0.9496888091919796,15.0,354.0,15.0,355.0,340,1.895696184041907,0.030244778369289113,efficiency_consistent_within_0p1,167.5,18868.0,
10,1.0,1.0,,50.0,3269.9500000000003,10406.0,10003.892215568863,ok,sigma_min_crossing,1375.0,10:01:05,137.5525,10406.0,1.0401951336306228,True,True,ok,760.0,760.0,0.1462381503299012,109.8725,-28.635329423057623,5.299727936423325,ok,ok,77.0,77.0,0.01648477804802334,115.46249999999999,boundary_low_confidence,barree,760.0,109.8725,0.1462381503299012,ok,ok,True,False,0.06813696341546381,eta_G = G_c / (G_c + 2),ok,depends_on_G_function_convention_and_selected_closure_pick;calibration_cross_check_not_unique_truth,3269.9500000000003,0.0,114.1825,114.1825,0.0,0.0,3269.9500000000003,,2354.6359381189054,768.5208640773843,ok,physical_pkn_storage,phase5d,50.0,cli_or_grid,0.722464726919,human_required_constant,35159.96198923028,ok,187.14028238524187,29.742211271630264,28.567927996043636,15.37331306664787,1.7955292449725613,11.173092294958517,3.8741861252625847,8.0,15.955930092751109,56.5264458918437,28.567927996043636,15.37331306664787,746,0.0008867818225766257,15.0,760.0,5.6597853992565375,ok,stage-constant,0.0008867818225766257,0.0008867818225766257,1.0,m_per_sqrt_second,0.0008867818225766257,0.0008867818225766257,0.0008867818225766257,25.0,0.5,,stress-shadow,1.0,0.07032579649994156,0.24887127317096222,0.125,0.07133471297262033,3082.809717614758,29.742211271630293,3082.8097176147585,0.0572303192358421,0.0572303192358421,0.9427696807641578,0.9427696807641579,0.9427696807641578,0.9427696807641579,2.933608077937143e-15,4.831690603168681e-13,0.003302156743892818,0.07694532201196928,0.1462381503299012,0.6252282808841357,12.799666856624471,0.6960507640860535,0.04427665719004911,0.049292077806731734,223.66736695648493,3046.2826330435155,0.06840085229330262,0.9315991477066974,0.7211121292158288,12.79966685662447,0.05333362300877908,0.9466663769912209,0.225353405613871,0.5070451626312097,0.7705014221852926,low_shutin_fluid_efficiency_check_C_or_leakoff_terms,10406.0,102.00980345045274,ok,1.0,sneddon,19.59909173457089,0.1666771171940181,0.5898425389974138,0.2962588507514391,2.3700708060115128,ok,-44.024095477400856,115.56447903389356,0.9288133655250129,15.0,760.0,15.0,760.0,746,1.0038729180845607,0.00026388887783880544,efficiency_consistent_within_0p1,192.0,19092.0,
